"name","speed","pressure","cat"
"KARL 2010",110,956,3
"LISA 2010",75,982,1
"MATTHEW 2010",50,998,-1
"NICOLE 2010",40,994,-1
"OTTO 2010",75,976,1
"PAULA 2010",90,981,2
"RICHARD 2010",85,977,2
"SHARY 2010",65,989,1
"TOMAS 2010",85,982,2
"ARLENE 2011",55,993,-1
"BRET 2011",60,995,-1
"CINDY 2011",60,994,-1
"DON 2011",45,997,-1
"EMILY 2011",45,1003,-1
"FRANKLIN 2011",40,1004,-1
"GERT 2011",55,1000,-1
"HARVEY 2011",55,994,-1
"IRENE 2011",105,942,3
"TEN 2011",30,1006,0
"JOSE 2011",40,1006,-1
"KATIA 2011",120,942,4
"UNNAMED 2011",40,1002,-1
"LEE 2011",50,986,-1
"MARIA 2011",70,983,1
"NATE 2011",65,994,1
"OPHELIA 2011",120,940,4
"PHILIPPE 2011",80,976,1
"RINA 2011",100,966,3
"SEAN 2011",55,982,-1
"ALBERTO 2012",50,995,-1
"BERYL 2012",60,992,-1
"CHRIS 2012",75,974,1
"DEBBY 2012",55,990,-1
"ERNESTO 2012",85,973,2
"FLORENCE 2012",50,1002,-1
"HELENE 2012",40,1004,-1
"GORDON 2012",95,965,3
"ISAAC 2012",70,965,1
"JOYCE 2012",35,1006,-1
"KIRK 2012",90,970,2
"LESLIE 2012",70,968,1
"MICHAEL 2012",100,964,3
"NADINE 2012",80,978,1
"OSCAR 2012",45,994,-1
"PATTY 2012",40,1005,-1
"RAFAEL 2012",80,966,1
"SANDY 2012",100,940,3
"TONY 2012",45,1000,-1
